TimeStampUTC,TimeFromLastMove,PuzzleUniqueID,ParentChain,ElementType,IsCompleted,Outcome,CurrentPuzzle
2025-08-14T19:34:03.7658887Z,00:19:058,Kale Valve Combo - SixtyOz,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Water Amount -> Kale Valve Combo - SixtyOz,Interaction,Completed,RightMove,Spoke Puzzle: Water Amount
2025-08-14T19:34:12.5717637Z,0.014872685,Carrot Valve Combo - FortyOz,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Water Amount -> Carrot Valve Combo - FortyOz,Interaction,Completed,RightMove,Spoke Puzzle: Water Amount
2025-08-14T19:34:21.4855804Z,0.016122685,Potato Valve Combo - EightyOz,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Water Amount -> Potato Valve Combo - EightyOz,Interaction,Completed,RightMove,Spoke Puzzle: Water Amount
2025-08-14T19:34:21.9880889Z,0.005821759,Spoke Puzzle_ Water Amount,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Spoke Puzzle: Water Amount,Puzzle,Completed,RightMove,Spoke Puzzle: Water Amount
2025-08-14T19:34:52.2045863Z,0.023333333,Carrot Order Spot (4) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Carrots Order -> Carrot Order Spot (4) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:34:56.5256800Z,0.006493056,Beans Order Spot (2) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Beans Order -> Beans Order Spot (2) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:05.7233576Z,0.008530093,Tomato Order Spot (2) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Tomatoes Order -> Tomato Order Spot (2) - Filled GreenPin,Interaction,Completed,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:05.7349956Z,00:00:011,Tomatoes Order,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Tomatoes Order,Puzzle,Completed,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:08.8571065Z,0.00349537,Tomatoes Order,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Tomatoes Order,Puzzle,Incomplete,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:08.8581603Z,00:00:001,Tomato Order Spot (2) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Tomatoes Order -> Tomato Order Spot (2) - Removed GreenPin,Interaction,Incomplete,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:09.9725837Z,0.002013889,Tomato Order Spot (1) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Tomatoes Order -> Tomato Order Spot (1) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:13.1595398Z,0.004236111,Pasta Order Spot (3) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Pasta Order -> Pasta Order Spot (3) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:15.5798916Z,0.00625,Pasta Order Spot (3) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Pasta Order -> Pasta Order Spot (3) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:20.1466773Z,0.009328704,Pasta Order Spot (1) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Pasta Order -> Pasta Order Spot (1) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:21.2246912Z,00:01:078,Tomato Order Spot (1) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Tomatoes Order -> Tomato Order Spot (1) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:22.8379301Z,0.007789352,Tomato Order Spot (3) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Tomatoes Order -> Tomato Order Spot (3) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:35:48.7851813Z,0.028321759,Amount 2 Cup Order Spot (4) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Vertical Amount Box -> Amount 2 Cup Order  -> Amount 2 Cup Order Spot (4) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:36:35.3162171Z,0.038090278,Amount 2 Cup Order Spot (4) - Removed RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Vertical Amount Box -> Amount 2 Cup Order  -> Amount 2 Cup Order Spot (4) - Removed RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:36:43.0838087Z,0.013738426,Beans Order Spot (4) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Beans Order -> Beans Order Spot (4) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:36:53.6601774Z,0.013611111,Pasta Order Spot (4) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Pasta Order -> Pasta Order Spot (4) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:36:57.2051466Z,0.00837963,Beans Order Spot (4) - Removed RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Beans Order -> Beans Order Spot (4) - Removed RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:36:58.6381550Z,0.005706019,Beans Amount Spot (4) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Beans Quantity -> Beans Amount Spot (4) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:36:59.2972866Z,0.007615741,Beans Amount Spot (4) - Removed RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Beans Quantity -> Beans Amount Spot (4) - Removed RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:37:06.3194880Z,00:07:022,Beans Amount Spot (4) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Beans Quantity -> Beans Amount Spot (4) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:37:29.5663596Z,0.018819444,Carrot Order Spot (1) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Carrots Order -> Carrot Order Spot (1) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:37:33.7305242Z,0.004675926,Carrot Order Spot (2) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Carrots Order -> Carrot Order Spot (2) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:37:41.3986879Z,0.012592593,Beans Order Spot (3) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Beans Order -> Beans Order Spot (3) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:37:46.9870253Z,0.010277778,Beans Order Spot (4) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> IngrediantToOrder -> Cooking Order -> Beans Order -> Beans Order Spot (4) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:38:36.6349591Z,0.041516204,Pasta Amount Spot (4) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Pasta Quantity -> Pasta Amount Spot (4) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:38:38.6227886Z,0.01212963,Pasta Amount Spot (4) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Pasta Quantity -> Pasta Amount Spot (4) - Filled GreenPin,Interaction,Completed,WrongMove,Hub Puzzle: Cooking Pot
2025-08-14T19:39:23.4809745Z,0.040474537,Carrot Amount Spot (1) - Filled RedPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Carrots Quantity -> Carrot Amount Spot (1) - Filled RedPin,Interaction,Incomplete,NeutralMove,Hub Puzzle: Cooking Pot
2025-08-14T19:39:33.2220687Z,0.014826389,Carrot Amount Spot (2) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Carrots Quantity -> Carrot Amount Spot (2) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:39:37.3892138Z,0.004699074,Carrot Amount Spot (4) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Carrots Quantity -> Carrot Amount Spot (4) - Filled GreenPin,Interaction,Completed,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:39:37.4057056Z,00:00:016,Carrots Quantity,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Carrots Quantity,Puzzle,Completed,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:39:40.4699941Z,00:03:064,Beans Amount Spot (1) - Removed GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Beans Quantity -> Beans Amount Spot (1) - Removed GreenPin,Interaction,Incomplete,RightMove,Hub Puzzle: Cooking Pot
2025-08-14T19:39:42.6080953Z,0.002986111,Beans Amount Spot (3) - Filled GreenPin,Room1:  Kitchen (Nutrition) [ROOT-SELF] -> Hub Puzzle: Cooking Pot -> Horizontal or Vertical Amount -> Horizontal Amount Box -> Beans Quantity -> Beans Amount Spot (3) - Filled GreenPin,Interaction,Completed,RightMove,Hub Puzzle: Cooking Pot
